datetime,open,high,low,close,volume
2024-04-22 14:19:00,47838.3,47846.45,47830.55,47839.0,0
2024-04-22 14:20:00,47841.55,47852.3,47836.65,47838.7,0
2024-04-22 14:21:00,47840.45,47843.65,47823.85,47829.95,0
2024-04-22 14:22:00,47828.35,47838.9,47825.95,47834.2,0
2024-04-22 14:23:00,47834.55,47839.25,47811.15,47812.5,0
2024-04-22 14:24:00,47814.95,47824.35,47811.8,47820.25,0
2024-04-22 14:25:00,47824.6,47827.45,47811.9,47815.3,0
2024-04-22 14:26:00,47816.25,47829.5,47812.8,47826.2,0
2024-04-22 14:27:00,47821.15,47848.15,47821.15,47846.7,0
2024-04-22 14:28:00,47844.4,47844.4,47794.0,47798.9,0
2024-04-22 14:29:00,47799.0,47807.25,47790.1,47793.65,0
2024-04-22 14:30:00,47799.6,47802.15,47785.6,47793.8,0
2024-04-22 14:31:00,47793.95,47798.55,47782.65,47788.65,0
2024-04-22 14:32:00,47790.45,47808.5,47787.5,47805.85,0
2024-04-22 14:33:00,47804.8,47826.95,47801.0,47815.25,0
2024-04-22 14:34:00,47813.05,47829.4,47808.75,47824.85,0
2024-04-22 14:35:00,47827.2,47850.65,47823.35,47834.2,0
2024-04-22 14:36:00,47835.45,47843.15,47829.0,47834.25,0
2024-04-22 14:37:00,47834.5,47840.35,47827.85,47837.6,0
2024-04-22 14:38:00,47837.85,47854.7,47832.0,47850.7,0
2024-04-22 14:39:00,47852.0,47852.95,47842.1,47845.0,0
2024-04-22 14:40:00,47846.6,47879.25,47838.35,47879.2,0
2024-04-22 14:41:00,47880.6,47928.7,47861.65,47917.05,0
2024-04-22 14:42:00,47918.9,47942.4,47910.65,47937.85,0
2024-04-22 14:43:00,47935.2,47943.25,47906.5,47920.25,0
2024-04-22 14:44:00,47916.65,47946.15,47912.9,47944.4,0
2024-04-22 14:45:00,47944.95,47947.4,47923.75,47923.75,0
2024-04-22 14:46:00,47925.45,47954.25,47918.35,47954.2,0
2024-04-22 14:47:00,47953.65,47958.45,47921.25,47927.6,0
2024-04-22 14:48:00,47927.95,47929.35,47902.65,47916.05,0
2024-04-22 14:49:00,47924.9,47940.25,47907.5,47933.2,0
2024-04-22 14:50:00,47937.85,47942.05,47914.9,47914.9,0
2024-04-22 14:51:00,47919.25,47932.4,47906.6,47917.05,0
